Date	1W
18.10.2006	26.9397
19.10.2006	26.851
20.10.2006	26.8613
23.10.2006	26.907
24.10.2006	26.8975
25.10.2006	26.865
26.10.2006	26.7695
27.10.2006	26.7242
30.10.2006	26.739
31.10.2006	26.7016
01.11.2006	26.7112
02.11.2006	26.6852
03.11.2006	26.7325
06.11.2006	26.7291
07.11.2006	26.6857
08.11.2006	26.7054
09.11.2006	26.6337
10.11.2006	26.6195
13.11.2006	26.6631
14.11.2006	26.661
15.11.2006	26.6506
16.11.2006	26.6769
20.11.2006	26.6646
21.11.2006	26.6364
22.11.2006	26.5563
23.11.2006	26.5567
24.11.2006	26.4303
27.11.2006	26.364
28.11.2006	26.3064
29.11.2006	26.3519
30.11.2006	26.2662
01.12.2006	26.1794
04.12.2006	26.1784
05.12.2006	26.1905
06.12.2006	26.2055
07.12.2006	26.2317
08.12.2006	26.3129
11.12.2006	26.2689
12.12.2006	26.2366
13.12.2006	26.2893
14.12.2006	26.3466
15.12.2006	26.3999
18.12.2006	26.394
19.12.2006	26.3066
20.12.2006	26.322
22.12.2006	26.311
27.12.2006	26.3895
28.12.2006	26.365
29.12.2006	26.3175
04.01.2007	26.31
05.01.2007	26.3752
09.01.2007	26.4672
10.01.2007	26.5405
11.01.2007	26.59
12.01.2007	26.5815
15.01.2007	26.5573
16.01.2007	26.5616
17.01.2007	26.549
18.01.2007	26.5114
19.01.2007	26.5334
22.01.2007	26.54
23.01.2007	26.478
24.01.2007	26.5085
25.01.2007	26.5431
26.01.2007	26.5752
29.01.2007	26.5358
30.01.2007	26.531
31.01.2007	26.4635
01.02.2007	26.4785
02.02.2007	26.4985
05.02.2007	26.5295
06.02.2007	26.4875
07.02.2007	26.4632
08.02.2007	26.3025
09.02.2007	26.354
12.02.2007	26.3785
13.02.2007	26.333
14.02.2007	26.2355
15.02.2007	26.2212
16.02.2007	26.2145
19.02.2007	26.197
20.02.2007	26.2125
21.02.2007	26.2021
22.02.2007	26.2166
26.02.2007	26.1586
27.02.2007	26.1049
28.02.2007	26.1102
01.03.2007	26.1559
02.03.2007	26.1665
05.03.2007	26.2651
06.03.2007	26.2271
07.03.2007	26.1935
09.03.2007	26.237
13.03.2007	26.1455
14.03.2007	26.1317
